"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/01/2024","69,49","69,17","-0,47","68,23","69,49","1,09B"
"26/01/2024","67,90","69,50","1,67","67,50","69,81","1,89B"
"25/01/2024","70,00","68,36","-2,20","67,36","70,41","3,28B"
"24/01/2024","70,30","69,90","1,01","69,75","70,83","2,60B"
"23/01/2024","68,95","69,20","2,06","68,45","69,77","2,35B"
"22/01/2024","67,50","67,80","-0,44","67,11","67,98","1,58B"
"19/01/2024","69,50","68,10","-1,30","68,05","69,51","4,11B"
"18/01/2024","70,20","69,00","-0,65","69,00","70,40","2,12B"
"17/01/2024","70,27","69,45","-1,66","69,00","70,46","3,00B"
"16/01/2024","71,60","70,62","-1,30","70,26","71,79","1,60B"
"15/01/2024","71,22","71,55","-0,20","70,70","71,70","907,42M"
"12/01/2024","72,20","71,69","-1,27","71,64","72,70","1,18B"
"11/01/2024","72,45","72,61","0,53","71,85","72,91","1,47B"
"10/01/2024","72,79","72,23","-1,50","71,95","72,79","1,54B"
"09/01/2024","74,10","73,33","-1,27","73,15","74,16","1,12B"
"08/01/2024","73,94","74,27","-0,51","73,51","74,56","1,70B"
"05/01/2024","75,03","74,65","-1,28","74,12","75,05","1,57B"
"04/01/2024","76,43","75,62","-1,34","75,36","76,64","1,42B"
"03/01/2024","76,71","76,65","-0,52","75,85","76,90","1,94B"
"02/01/2024","77,60","77,05","-0,19","76,59","78,18","1,39B"
"28/12/2023","77,00","77,20","-0,26","76,75","77,46","1,28B"
"27/12/2023","76,85","77,40","0,97","76,85","77,55","1,07B"
"26/12/2023","77,16","76,66","0,35","76,66","77,45","936,60M"
"22/12/2023","77,13","76,39","-0,75","76,29","78,20","2,02B"
"21/12/2023","75,45","76,97","3,33","75,32","77,05","1,85B"
"20/12/2023","74,73","74,49","-0,32","74,49","75,41","1,06B"
"19/12/2023","74,70","74,73","0,70","74,37","75,09","1,63B"
"18/12/2023","74,06","74,21","0,47","73,71","74,93","1,22B"
"15/12/2023","74,06","73,86","0,63","73,51","74,30","1,71B"
"14/12/2023","74,00","73,40","0,55","73,36","74,26","2,17B"
"13/12/2023","72,50","73,00","0,01","72,31","73,32","1,84B"
"12/12/2023","73,60","72,99","0,18","72,60","73,85","805,62M"
"11/12/2023","72,08","72,86","0,08","71,76","73,24","1,12B"
"08/12/2023","73,10","72,80","0,28","72,33","73,26","1,17B"
"07/12/2023","72,69","72,60","0,32","72,42","73,08","1,28B"
"06/12/2023","73,50","72,37","-0,66","72,12","73,92","1,50B"
